"target","model","feature_set","train_MAE","test_MAE"
"spread","LinearRegression","raw",1.12921788850693,1.1824584053594
"spread","Lasso","raw",1.13047860068372,1.18306690740677
"spread","Ridge","raw",1.78507705675576,1.9417342528917
"spread","RegressionTree","raw",4.35977397887693,5.34271130871322
"spread","RandomForest","raw",1.56041326782845,3.90033072334079
"spread","XGBoost","raw",0.635912513693958,2.05547090023089
"spread","NeuralNetwork","raw",0.249721090901822,0.326800047195108
"spread","LinearRegression","rolling",11.3580250906025,12.3158314210147
"spread","Lasso","rolling",11.3712961645388,12.2780091512011
"spread","Ridge","rolling",11.3904570642813,12.3857434705316
"spread","RegressionTree","rolling",11.4992520031764,12.3105255565166
"spread","RandomForest","rolling",4.68397431962349,12.14634949043
"spread","XGBoost","rolling",10.2760143435902,12.1130291295032
"spread","NeuralNetwork","rolling",9.0841188217829,14.2057152167212
"spread","LinearRegression","all",1.12829179337985,1.1965100445947
"spread","Lasso","all",1.12729823408052,1.1957523936298
"spread","Ridge","all",1.78235072574033,1.94153179570386
"spread","RegressionTree","all",4.15617453130599,5.09111644490942
"spread","RandomForest","all",1.70626526157834,4.36660564255531
"spread","XGBoost","all",0.558334311316027,2.2443840893723
"spread","NeuralNetwork","all",0.271569934045377,0.448000693207248
"total","LinearRegression","raw",4.06092166444426e-14,4.050252551939e-14
"total","Lasso","raw",0.462932276495195,0.437703414428493
"total","Ridge","raw",1.63788490048883,1.68917550828716
"total","RegressionTree","raw",4.03215130165063,5.0443754850457
"total","RandomForest","raw",1.93573309850451,4.34486925180213
"total","XGBoost","raw",0.407233716648598,1.00409048195653
"total","NeuralNetwork","raw",0.0452764176867173,0.0554681451162658
"total","LinearRegression","rolling",15.0492601690922,15.5071579842228
"total","Lasso","rolling",15.1095800768695,15.4708118295392
"total","Ridge","rolling",15.124564475761,15.4771967465185
"total","RegressionTree","rolling",15.3006195092706,15.7943087867761
"total","RandomForest","rolling",6.28973252165609,15.7651817051951
"total","XGBoost","rolling",13.9145815704702,15.5969483719043
"total","NeuralNetwork","rolling",11.9557277184642,18.1976147171577
"total","LinearRegression","all",3.79305072447503e-14,4.05661087619637e-14
"total","Lasso","all",0.465786092089378,0.442343880807297
"total","Ridge","all",1.65950611967326,1.7641338950011
"total","RegressionTree","all",4.17687021758309,4.994248604198
"total","RandomForest","all",2.32448172021008,5.55640703455134
"total","XGBoost","all",0.321765063656408,1.05889636558174
"total","NeuralNetwork","all",0.0674765439652284,0.080650902931028
"OREB","LinearRegression","raw",6.12092257981326e-15,5.59731232280817e-15
"OREB","Lasso","raw",0.132820629967145,0.127811205734576
"OREB","Ridge","raw",0.373047463289454,0.38698157823875
"OREB","RegressionTree","raw",0.815192963117932,1.06683206307848
"OREB","RandomForest","raw",0.240569212705475,0.61489796172011
"OREB","XGBoost","raw",0.0709008703772828,0.1844659054306
"OREB","NeuralNetwork","raw",0.0158114170423594,0.0171412620659633
"OREB","LinearRegression","rolling",4.28324308752832,4.27155498921614
"OREB","Lasso","rolling",4.29195810134184,4.25419537504326
"OREB","Ridge","rolling",4.29155155703622,4.2689587834104
"OREB","RegressionTree","rolling",4.34355990285692,4.26220821853633
"OREB","RandomForest","rolling",1.84071618579906,4.26286254039274
"OREB","XGBoost","rolling",4.0211741422275,4.25310275271968
"OREB","NeuralNetwork","rolling",3.88134699428808,4.80730822832426
"OREB","LinearRegression","all",6.53402712196826e-15,6.5013865531517e-15
"OREB","Lasso","all",0.132368805640659,0.127481432101951
"OREB","Ridge","all",0.3769061115813,0.395060728679686
"OREB","RegressionTree","all",0.81698216529006,0.968421686220015
"OREB","RandomForest","all",0.348413818975513,0.881857444693015
"OREB","XGBoost","all",0.0673025738907563,0.223044448784267
"OREB","NeuralNetwork","all",0.0190722497265445,0.0220149205918927
